id,dialect,text
1177699943622025216,PL,نظم نومك امورك تمشي تمام حتى لو يومك زفت 
1177868944243331072,PL, شايف مش قادر استحمل
1178007560055590912,PL,اللي تقدر تمشي في الكعب دا وترقص خاف منها 
1178014833213628416,PL,حابب تعيش حياة مفش فيها مشاكل او اضطرابات نفسية نام كل ما اتيحت لك الفرصة
1178067699261411328,PL, محدش من العيلة موجود 
1178069340287094784,PL,والله اعلم شكلو حبيبها اللي شرد على الشمال  اول ما مسكت بوكيه الورد 
1178248711744434176,PL,طيب مين جرب تشيللو يحكيلي ايش ازكى سندوتش 
1178269761291071488,PL, ازكى من برجر مزاج 
1167232872954106112,PL,الليلة هادية زيادة عن اللزوم حتى الديك ما صاح
1167340457745010688,PL, علقت على صورة بمزح وكل على انها مش حقيقة صورة  بنصدم انو  طلع صديق ودخلت بموقف زفت
1167352481329889280,PL,اول ما تدخل البيت وتكون مخبي بكيت الشيبس من خواتك 
1167383329760600064,PL,يخسارة ماش البامية ابدا فيهم 
1167385020157370368,PL,يارب ارزقني هادا الجهاز وهادي السرعة 
1167390226265845760,PL, مشفتنيش وانا باكل جزر احسن من الارانب 
1167391482862612480,PL,احنا بس نصل مرحلة المورنيج تيكست بعدين نطلع على   
1167399426085871616,PL,وانا اذا طلعت الدرج برتاح نص ساعة 
1167508179049168896,PL,طب جافيني مره وصافيني مره ولا تنسانيش كده بالمره
1167539738389164032,PL,وانا اللي كنت افكر انو حفل زواج طلع حفل تخرج معلش من اللي بشوفو من حفلات تخرجنا يقطعنا 
1167540474334388224,PL,كيف حابب تخبي مشاعرك بعد ما قلك الكراش احنا خوات 
1167566308365492224,PL,عل فاضي لازم اضحك  
1167690049598763008,PL,فش حدا صاحي من خواتي يعملي قهوة 
1167692763514716160,PL, بحب القهوة حد يعملي ياها
1167697207774068736,PL,عدو خلص الصيف وانا مش متعود عليه وبحكو لسه انو اجمل فصل 
1167705642301349888,PL,لما اختك اللي اسمن منك تحكيلك احملني 
1167707347072012288,PL,كل ما احكي هوا دا يطلع مش هوا دا 
1167711965407588352,PL, فعلا فوق المتعه معلومات طبيه اوفرس دوس
1167713689832709888,PL,بنفعش تخلوها ابدر شويا مشان يكون في شوية صحة 
1167867146740719616,PL,وبتكون كاتبة قبل دقيقة عتايم مخنوقة بموت 
1167868641385177088,PL,ردوا الليالي والقمر ردوا عن سنيني الضجر ردوا لعيوني النظر ردوا حبيبي
1167870761249333248,PL,واذا حليت برجع باكل مالح تاني 
1167872922595127296,PL, جزء من ديكور الراس
1167880061095047168,PL, هلقيت انا مع وجبتين بسمن كيف تلاته مع سناكات 
1167899022855589888,PL,زمان عن الضحك هادا  
1167899961633034240,PL,مليون دولار ونحطك معاه ساعتين بغرفة 
1167916745580957696,PL,عيد ميلاد مين الشهر هادا 
1168115711820148736,PL,احنا مختبر المدرسة كان خربان 
1168176063148679168,PL,احلى حاجة في الجامعة الفطور الباقي ملوش لازمة
1168214538614923264,PL,هوا ايش بسوي بزبط  
1168216294451306496,PL, مواضيع متطورة ماش بتركب كلو مره وحده
1168233962348654592,PL, هوا انتي بتحكي بجد 
1168236388833271808,PL, انا اليوم اول مره اعرف انو في هيك
1168569909690978304,PL,عدو خلص الصيف وما ضعفت ايش هعمل بشتا 
1169305249733140480,PL,مره حلوه خصوصا لناس اللي ما بتعرف  
