id,dialect,text
1175720487189655552,LB,ما بتستحي عحالك فنان المفروض حامل هم الوطن والانسانية ما بتفكر بأطفال اليمن اللي عم يموتو كل يوم من ورا مملكة الكره تبعك والله منيح اللي ما رحت حضرتك بلندن واصلا قالولي حفلتك كانت فاشلة  
1175726883801042944,LB, نو وير  بس رحت عملت سياحة اليوم 
1175866268710264832,LB,  نفس العيلة بلوبري ورازبري
1175868945338896384,LB,حزب الله عالعين والراس وبالقلب  بس خليلنا الفوتبول نقاهر فيه شوي سمحلنا اخ حيدر  مش لازم كلنا نكون لون واحد  
1175870629347778560,LB, حسب اذا جاية بيروت من الجنوب او من برا لبنان بتفرق 
1175892835612143616,LB, بيكون آخذ شي شمة  معروف هيدا طلال حيدر 
1172073901750390784,LB, مثل ما في قانون بيسقط الحكم بعد عشرين سنة كمان في قانون بتخفيف الحكم اذا في ثار يعني هالعميل مين ما بل ايدو فيه رح يكون الحكم عليه قليل جزارالخيام حقنرصاصة
1172111593271902208,LB, لنشوف هالناس اللي كانت تظل تقول حقنرصاصة اذا رح ينزلوا عالتظاهر يا ريتني بلبنان كنت اول وحدة بنزل لانو ارواح اهلنا المعتقلين بسجن الخيام مش رخيصة عنا جزارالخيام
1172113641941995520,LB, تسلمي حبيبتي والله ارتاح من انو يشوف هاليوم
1172115785193533440,LB,  يا ريت تسويها وتخلصنا من هالخنزير وكلنا معك حقنرصاصة
1172116268893331712,LB, اول مرة بتكتبي شي خرج الريتويت
1172269533878509568,LB, راسها ما بيتشبه لاجرك هيدي حية مسمة ما تقارن بينك وبينها 
1172445663700741888,LB, حاجي تحكوا بالشيفرة حطوا الاسم لانو لازم نشوف اذا رح يتحاكم بجرم العمالة مع اسرائيل مثلو مثل جزارالخيام حقنرصاصة
1172447304231448576,LB, العمى ما اوقحوا معو جنسية اسرائيلية وفايت علبنان عم يكزدر  هيدا اكيد غبي مش بس جزارالخيام 
1172486593246126080,LB,اللي دمو فيه عمالة كيف رح ينظف ايه حتى الكلوركس ما بينظفوا بدو بس حبيبالشرتوني  
1172525108805742592,LB, اذا الحفل صاير بالسفارة اللبنانية باميركا شو مفوت عميل اسرائيلي عالسفارة خاصة انو بحفلات السفارة بتنبعث دعوات خاصة بالاسماء لرعايا الجالية اللبنانية مثل ما بيصير عنا بلندن معناها هيدا العميل حزك مزك عالسفارة واذا الاستقبال برا السفارة معناها كملت 
1172527556584706048,LB, مش دفاعا عن قائد الجيش بس الصورة مبينة بالسفارة الأميركية ولما بيكون حفل استقبال لحدا بيجي من هب ودب بدو يحكي مع السياسي اللي جايي من لبنان انا كل استقبال للسفارة بلندن بكون وبعرف كيف بتصير القصة كلنا منقرب منحكي مع الوزير او النائب من دون ما نعرف عن حالنا السؤال كيف فات عالسفارة
1172528789630398464,LB,اذا جزارالخيام كان بحفلة استقبال للسفارة اللبنانية بأميركا معناتا اسمو موجود على ايميل السفارة كمواطن لبناني وبتجيه دعوات خاصة لحضور الحفلات مثلنا كلنا بالمغترب سؤالنا شو مفوت هالعميل عالسفارة وبأي صفة بيندعى اذا معروف عميل مجرم
1172530391556722688,LB,هيدا اللي عم قولوا لان هيك احتفالات ما بيجي عليها الا اللي بيندعوا من افراد الجالية مثل كل بلاد الاغتراب شو مفوتو عحفلة استقبال لقائد الجيش 
1172533013542035712,LB, كلنا رايحين حفلات السفارة بلندن بتكون مثل هاجوج وماجوج والكل بيقرب بدو يتصور ويحكي السياسي اللي جايي بس هيدا الخنزير مين باعتلو دعوة وكيف فايت عالسفارة بأمر من مين يجيبوا السفير باميركا يسألوه
1172549919942545408,LB, اذا مش نازل اسمك عندن لازم انت تتصل فيهن وتقلن خاصة انو الدعوات بتجينا ايميل انا ظليت سنين مثل الاطرش بالزفة لحتى عرفت انو اذا ايميلك مش عندن ما بيبعثوا شي دقيتلن وخليتن يحطولي اسمي
1172599040082698240,LB, مش من حقن شو السفارة لبيت بيون انا كنت مثلك ما يعزموني لحتى دقيتلن قالولي ايميلك مش عنا ومن وقتا صاروا يبعثولي دعوة بالاسم  مع اني مواطنة عادية  هلء خلص يمكن يلغوا كل حفلات الاستقبال على عملة هالخنزير 
1172599501309321216,LB,ما راحت الا عاللي مثلنا بطلوا السياسيين يقبلوا يتصوروا معنا بالسفارة  الله يلعنك يا جزارالخيام من وراك نزعتلنا هالكم عزيمة عالسفارة اللبنانية والله يمكن يلغو كل شي اسمو استقبالات
1172601519725785088,LB, فجر العميل وهوي بعدو عايش وعندو عيلة الله يحميه اللي تفجر صار مية شقفة وما بقي منو الا خاتم اللي أهداه ياه شارون  باي
1172631931726565376,LB, له يا باسل صحيح بيبعثوا ايميلات للكل بس صحيح بالعادة الدعوة بتكون عامة وما في حدا عالباب بياخذ اسماء ولا شي يعني انا ممكن آخذ معي مين ما بدي عحفل اسنقبال السقارة وبالعلامة مرة راحوا معي رفقاتي سوريين 
1187733569332023296,LB,ما في بياخد خوات من ارزاق العالم الا الزعران بالضاحية
1187740853340639232,LB,"لو سمحتوا سؤال
حبس النسوان وين بيبروت
بدي ابعت  لأهلي 
علالحبس"
1187766367635886080,LB,هولي بيطعموا خبز وبيدفعوا مي وكهربا للشعب المعتر 
1187774851781664768,LB,"لبيطلع بقلي مسيس سبونج بوب
رح ادبك بنيعو "
1187780338774413312,LB, انت خليك بافريقيا ما تجي
1187838436889288704,LB,"هلء صاروا الرتش العونية
يحبوا الموتوسيكلات"
1188008463806414848,LB,"  عم يعمل قهوة عل الفحم صار
انا جاي جاي"
1188011602890711040,LB,  عم حاول اركب الموجة
1188022538573623296,LB,"بتعرفوا انا اسمي كوثر صح
بس بيدلعوني سلطة
وكتير مرات عهد قوي"
1188024148196548608,LB,"العقل الشيعي اليوم
 السيد ما بيغلط
 السيد قوي وبيعرف أكثر منا
 ما هني مش عم يخلوهن يحاربوا الفساد
 طب لا يمتى هل الحالة هيك والله اختنقنا يا سيد 
يطرق الباب طق طق طق
اشتراك الموتير لو سمحت 
 فيك تجي بعد الظهر بكون امنتن
ماشي "
1188053279277756416,LB,"اد ما العونية صاروا حابين الضاحية
باعوا وبيوتن واشتروا عنا"
1188082906142597120,LB,"عفكرة من قبل بجمعتان صار في حرايق
في عالم طلعت جابت اكل وتياب ومي
عحسابها
عملوا مستشفى ميداني
يطلعو وينزلوا بسيارتن تيساعدو العالم
في ناس فتحت شققها وبيوتها
ليه ما قلتوا بوقتها انوا في سفارات عم تدعم
حج ضحك عل العالم بقى"
1188156415703240704,LB,بتربح معنا اغبى مخلوق بال 
1188392269998678016,LB,"عفكرة شو بيقربوك داعش
لا يمكن هني بيفهموا اكتر منك "
1188398968306388992,LB,"بحبك وحياة الله بحبك
وما عم احكي حدا غيرك "
1188460579142410240,LB,مبروككككككككك ولا فرحتله من قلبي و اللهي 
1188470106503954432,LB, لانك بتتقبل الاراء كلها ما بتجرح بحدا
1188471156568969216,LB,"عنجد انك بلا اخلاق
قحبة الشاشة ليه كاين انت قدمت بحياتك برامج دينية وصلاة وتراتيل "
1188525011503648768,LB,الشعبوين اخدتوا مليارات الدولاراتالسلطةمن وين عم بتجيبوا حق المناقيش والبونجيس
1188525239791161088,LB," بلشت تبين مصاري السفارات
عم تاكلي سلطة مع بطاطا ودجاج وفطر يا ارستقراطية"
1188537384822026240,LB,"العشاء من  قريطم
انا صرت ارستقراطية
انتوا خليكن معترين"
1188736399362707712,LB,"انا اسمي كوثر جمول
اسم ديني إسلامي بحت
واذا حدا سئلني شو دينك
بقلن بوذية"
1188737206405521408,LB, ايه بدي طالب بحصتي
1188738152166547712,LB,"يمكن بينعموا عيونن عن هل المخلوق شو بيحكي وشو سياسته
سبحان الله "
1181667911104118784,LB,بلش موسم الكلمنتين الأخضر  
1181907836403666944,LB,"عل المصايب بهل البلد
لازم صلاة شكر وتسبيح وترتيل نعملها اول ما نرجع عل البيت"
1182029472142385152,LB,انا بعتذر منك يا روبي وحياة الله انك ملاك قدامن
1182030202693734400,LB,"حبيبي انت ما فيك تحكي عن مشاهير السوشيل ميديا
وانت نعفت الدني كرمال كم لايك ورتويت"
1182172729404997632,LB, قول هاي ما في شك فيها
1182184934410207232,LB,وقتا حبيبك يكون مزعلك وخاينك ومطربشك وبدو يرجع يراضيكي 
1182213890136055808,LB,تدفن ولا يصلى عليها 
1182214109972107264,LB, عمرو دياب حبيب قلبي
1182266823850496000,LB,حبي انت الكل عارف البير وغطاه 
1182267913719431168,LB,انا من هيدا الاتنين رح بلش دايت خبز ما في
1182290559454646272,LB,"عنجد انا حياتي كتير فرقت للأحسن وصايرة عم ضل مبسوطة
هني ليه
انا  انا بلشت افرز"
1182290636663341056,LB," فيهم طالب عنا بالمعهد
الله يشفيهن"
1182355731149926400,LB,"انتوا قعدو بلا خبز
والوالدة بتعلمنا مناقيش عل الطابونة "
1182374610689499136,LB,تنسى كأنك ملف فساد
1182390778548674560,LB,"هلء سؤال
ايا اسوء عهر مبارح
او عهر اليوم
تفهمماتفهممشكلتك"
1182619005519044608,LB,"بعد النحس بيشد حالوا شوي
وبيجي النيزك بشيل لبنان وشعبه من عن الكرة الأرضية كلها "
1182711474151706624,LB,في ناس سافروا وبلشوا يشمتوا فينا 
1182988711992156160,LB,انا بيي هددني اذا بلبس عوينات شمس انا وعم قطف رح يعلقني بالشجرة 
1183409069048188928,LB,"خبروني اني كنت بحواش الزيتون
شو صار مشاكل من مبارح لليوم"
1183438199164677888,LB,الأفران ح تأضرب ونرجع نخبز ب البيت حدا يبعتلي المقادير
1183455512278568960,LB,"في عنا ناس هوني عل التويتر عبدوا لجبران باسيل عشوي
عملوا فرخ نبي
لقوي يطقلكن شي شرش ها"
1183623889311686912,LB,"فوق راسك وحدك صراحة
نحن ما مندعس بالصرامي "
1183663647190638592,LB,"انا اذا حدا قلي انت وحظك 
بفقد الامل نهائيا"
1183684865243394048,LB,"كوثر عزلي البيت منيح
والاحد تعي قطفي زيتون "
1183820989655846912,LB,"بكرا في طلاب اول مرة بشوفن
ولأن شكلي رح حبن كتير
حبلش معن نص وأسئلة و و
من اول دقيقة"
1184116099085930496,LB,"هوي الحريق قرب بس عشجر المسيحية وبيوتن
وترك الباقيين "
1184124750882332672,LB,جريصاتي اللي ما عندو مرهم  ما يسمعني صوتو
1184170074275487488,LB,"طمنوني نزلوا صورة للاشغال بنفق سليم سلام او بعد
اشتقت شوفوا كل ليلة قبل ما نام"
1184186673661468672,LB, يا قلبي عل الرومنسية
1184543468145782784,LB,كيف ومين اخترع سندويش دجاج عل الفحم 
1184778558104883200,LB,"لازم الوزير يفرض ضريبة عل فيديو تعول انجي خوري
وعلى كل شب عاملها فولو ومسخسخ على التايم لاين عندها"
1184845671062478848,LB,"اذا اجا باسيل رئيس جمهورية
مين عايش برا يبعت ورايي لعندو"
